NomeCliente,EnderecoCompleto,ValorFatura,NumeroPaginas
Cliente Ficticio 268,"AV PRF MANOEL JOSE PEDROSO,  1352-PARQUE BAHIA-COTIA-SP -06717100 ",125.67,4
Cliente Ficticio 269,"R JOSE CARLOS DE TOLEDO PIZA,   100, BL B, APT 176-JARDIM PARQUE MORUMBI-SAO PAULO-SP -05712070 ",350.91,4
Cliente Ficticio 270,"R BARCELOS,2370-CACHOEIRINHA-MANAUS-AM -69065190 ",147.07,4
Cliente Ficticio 271,"R PRF CARLOS CALLIOLI,    87-PARQUE MARIA LUIZA-SAO PAULO-SP -03451020 ",241.23,4
Cliente Ficticio 272,"R VALENCA DO MINHO,   491, FD-JARDIM BRASILIA (ZONA LESTE)-SAO PAULO-SP -03583040 ",285.57,4
Cliente Ficticio 273,"R CENIRA LANDULPHO SANSON,   337-JARDIM IPANEMA-SOROCABA-SP -18070260 ",126.97,4
Cliente Ficticio 274,"R SALATIEL RODRIGUES DA FONSECA,    40-C. RES. ARARETAMA-PINDAMONHANGABA-SP -12423570 ",197.75,4
Cliente Ficticio 275,"R MARIO PORTELA,   161, BL C, APT 504-LARANJEIRAS-RIO DE JANEIRO-RJ -22241000 ",405.64,4
Cliente Ficticio 277,"R JOANA SOARES FERREIRA,   329-CIDADE MORUMBI-SAO JOSE DOS CAMPOS-SP -12236420 ",157.62,4
Cliente Ficticio 278,"R PRF ROQUE PASSARELLI,    71-JARDIM AMERICA-TAUBATE-SP -12082470 ",160.17,4
Cliente Ficticio 279,"R PAULA FREITAS,    31, APT 710-COPACABANA-RIO DE JANEIRO-RJ -22040010 ",437.93,4
Cliente Ficticio 280,"R FERNANDES SAMPAIO,    33, APT 14-JARDIM SAO PAULO(ZONA NORTE)-SAO PAULO-SP -02041010 ",56.93,4
Cliente Ficticio 281,"R CIDADE DE VISEU,  1638-LARANJAL-PELOTAS-RS -96083140 ",258.14,4
Cliente Ficticio 282,"R MAJ CASTRO,    30-CENTRO-SANTANA DE PARNAIBA-SP -06501085 ",277.08,4
Cliente Ficticio 283,"R DR ALMENOR JARDIM SILVEIRA SN,BL 58 AP 44-JARDIM ALVORADA-SANTO ANDRE-SP -09180070 ",115.95,4
Cliente Ficticio 284,"R ARITIBA,   395, CASA 1-REALENGO-RIO DE JANEIRO-RJ -21765070 ",164.79,4
Cliente Ficticio 285,"R CEGONHA,    13, QD 82-CPA IV-CUIABA-MT -78058276 ",15.95,4
Cliente Ficticio 286,"R LOURDES LOPES SANCHES,   300, BL 16, APT 33, ESC E-PARQUE CECAP-GUARULHOS-SP -07190033 ",460.68,4
Cliente Ficticio 287,"R JOSE ALVES DE ALMEIDA,   130, BL 6 Monet, APT 53-JARDIM CELESTE-SAO PAULO-SP -05527080 ",175.66,4
Cliente Ficticio 288,"R CONS RIBAS,528-EMBARE-SANTOS-SP -11040050 ",836.28,4
Cliente Ficticio 289,"R EPAMINONDAS MELO DO AMARAL,   519, CASA 3-SITIO DO MANDAQUI-SAO PAULO-SP -02542000 ",63.00,4
Cliente Ficticio 290,"EST JOAO DUCIM,  1063, CASA 04-JARDIM JAMAICA-SANTO ANDRE-SP -09185000 ",109.17,4
Cliente Ficticio 291,"R BRA DO GRAVATAI,380-CIDADE BAIXA-PORTO ALEGRE-RS -90160070 ",507.65,4
Cliente Ficticio 292,"R PRFA MARIA PUREZA DE JESUS,  1107-ATALAIA-ARACAJU-SE -49036170 ",23.15,4
Cliente Ficticio 293,"R RIACHUELO,   384-CENTRO-SAO CARLOS-SP -13560110 ",243.11,4
Cliente Ficticio 294,"AV PORTUGAL,  1105, QD J-16, LT 12, APT 02-SETOR MARISTA-GOIANIA-GO -74150030 ",213.68,4
Cliente Ficticio 295,"R JOAO BATISTA S DE OLIVEIRA,   128, CASA 21-VISTA ALEGRE-CUIABA-MT -78085712 ",138.30,4
Cliente Ficticio 296,"AV PES OLIVETANOS,   543-VILA ESPERANCA-SAO PAULO-SP -03648000 ",111.37,4
Cliente Ficticio 297,"R EPISCOPAL,1996,RUA EPISCOPAL ,121-CENTRO-SAO CARLOS-SP -13560049 ",309.06,4
Cliente Ficticio 298,"R ANTONIO SIMM,   809-CAPAO DA IMBUIA-CURITIBA-PR -82800290 ",179.04,4
Cliente Ficticio 299,"AV CONSTANTINO NERY,  2503, BL F, APT 102-CHAPADA-MANAUS-AM -69050001 ",372.21,4
Cliente Ficticio 300,"R ARLINDO KILCAMP,   222-FORQUILHAS-SAO JOSE-SC -88107220 ",153.36,4
Cliente Ficticio 301,"R MONTEIRO LOBATO,     9, BL MARIA JOSE, APT 112-JOSE MENINO-SANTOS-SP -11065280 ",223.37,4
Cliente Ficticio 302,"R BRESSER,   639-BRAS-SAO PAULO-SP -03017000 ",136.08,4
Cliente Ficticio 303,"SUL, AVN PQ AGUAS CLARAS, LT 3885, APT 1307-AGUAS CLARAS-BRASILIA-DF -71906500 ",453.46,4
Cliente Ficticio 304,"R CLEMENTINO LUIS VIEIRA,   104-SAO CRISTOVAO-PASSO FUNDO-RS -99060080 ",199.83,4
Cliente Ficticio 305,"R RIO GRANDE DO SUL,   374-CENTRO-SAO CAETANO DO SUL-SP -09510020 ",180.80,4
Cliente Ficticio 306,"AV PRES WILSON,   272, APT 12-CENTRO-SAO VICENTE-SP -11320000 ",319.41,4
Cliente Ficticio 307,"R WANDERLEY BORSARI,64-PARQUE SAO LOURENCO-INDAIATUBA-SP -13338540 ",27.94,4
Cliente Ficticio 308,"R ERNESTO CARNEIRO SANTIAGO,   222, CASA A-PADRE EUSTAQUIO-BELO HORIZONTE-MG -30730020 ",194.46,4
Cliente Ficticio 309,"R JOSE RIBEIRO,   360-PARQUE DO SOL-SAO JOSE DO RIO PRETO-SP -15040505 ",183.31,4
Cliente Ficticio 310,"VLA D,   385, QD E, LT 06/10, BL A-13, APT 404-SETOR LESTE VILA NOVA-GOIANIA-GO -74635075 ",86.66,4
Cliente Ficticio 311,"R MARIA BONATTO MARENDA,   418-AFONSO PENA-SAO JOSE DOS PINHAIS-PR -83045140 ",268.82,4
Cliente Ficticio 313,"R JOAO ALETTO,    54, FD-VILA MORELLI-MAUA-SP -09361420 ",255.54,4
Cliente Ficticio 314,"AV DO LAMI,87-BELEM NOVO-PORTO ALEGRE-RS -91780120 ",255.90,4
Cliente Ficticio 315,"R ODETE FERNANDES CAMPOS,    61-NOVO SANTA CECILIA (BARREIRO)-BELO HORIZONTE-MG -30626485 ",93.35,4
Cliente Ficticio 316,"AV MAL DEODORO DA FONSECA,914,ED MAISON LA PLAG-CENTRO-GUARUJA-SP -11410222 ",189.79,4
Cliente Ficticio 317,"R CD DE IRAJA,   413, BL A, APT 102-BOTAFOGO-RIO DE JANEIRO-RJ -22271020 ",326.28,4
Cliente Ficticio 318,"R CARVALHO DE MENDONCA,    36, LJ 3-COPACABANA-RIO DE JANEIRO-RJ -22020050 ",236.54,4
Cliente Ficticio 319,"R STO ANDRE,    48, FD-CANUDOS-NOVO HAMBURGO-RS -93546200 ",41.12,4
Cliente Ficticio 320,"R SEBASTIAO PROCOPIO OLIVEIRA,   432-PARQUE SAO LUIS-TAUBATE-SP -12061620 ",188.44,4
Cliente Ficticio 321,"R HORACIO NUNES PIRES,    25, CASA 01-PARQUE AMERICA-SAO PAULO-SP -04822170 ",161.78,4
Cliente Ficticio 322,"R MOACIR SILVEIRA VALLIN,   262-SANTIAGO-LONDRINA-PR -86071720 ",6.41,4
Cliente Ficticio 323,"R SRG. G SANTANA,1100,BL 17 APT 22-JARDIM TAQUARAL-SAO PAULO-SP -04674901 ",93.47,4
Cliente Ficticio 324,"R BENTO GONCALVES,  1662-PATRIA NOVA-NOVO HAMBURGO-RS -93410002 ",190.67,4
Cliente Ficticio 325,"R PE LOBO,    17, CASA 02-GAMELEIRA-BELO HORIZONTE-MG -30535600 ",197.40,4
Cliente Ficticio 326,"R MNS JOAO JOSE DE AZEVEDO,   191-VILA ANADIR-SAO PAULO-SP -03266020 ",172.76,4
Cliente Ficticio 327,"R PRATA,   228-CIDADE SOBERANA-GUARULHOS-SP -07162440 ",107.89,4
Cliente Ficticio 328,"R VIOLETA NILSEN MARTINS,    55, CASA 01-JARDIM CANAA-LIMEIRA-SP -13486713 ",190.58,4
Cliente Ficticio 329,"R SIRIO LIBANESA,   123-VILA CLAYTON-VALINHOS-SP -13276100 ",195.92,4
Cliente Ficticio 330,"AV OLYNTHO ANTUNES OLIVEIRA,   360-JARDIM BELA VISTA-GUARATINGUETA-SP -12514290 ",60.70,4
Cliente Ficticio 331,"AV PEDRO ALVARES CABRAL,1991,AP 204-TELEGRAFO SEM FIO-BELEM-PA -66113190 ",197.86,4
Cliente Ficticio 332,"R MANOEL ALBANO ROSKAMP,   223-CAJURU-CURITIBA-PR -82920070 ",167.86,4
Cliente Ficticio 333,"R SERENATA,   111-VILA CALIFORNIA-SAO PAULO-SP -03212010 ",207.89,4
Cliente Ficticio 334,"R MALLET,    92, APT 204-HIGIENOPOLIS-RIO DE JANEIRO-RJ -21061130 ",185.70,4
Cliente Ficticio 335,"R MONTE VERDE,    39, FD CASA-SAO SALVADOR-BELO HORIZONTE-MG -30881410 ",117.61,4
Cliente Ficticio 336,"AV HIGIENOPOLIS,  1338, ED RES. HIGIENÓPOLIS II, APT 13-JARDIM HIGIENOPOLIS-LONDRINA-PR -86015010 ",50.96,4
Cliente Ficticio 337,"R TAMANDARE,   997, APT 1303-LIBERDADE-SAO PAULO-SP -01525001 ",19.38,4
Cliente Ficticio 338,"AV NADIMA DAMHA,  2000, QD D, LT 18-RESIDENCIAL JARDINS-SAO JOSE DO RIO PRETO-SP -15061759 ",203.27,4
Cliente Ficticio 339,"R INDONESIA,   455-PARQUE NOVO ORATORIO-SANTO ANDRE-SP -09270570 ",213.63,4
Cliente Ficticio 340,"R CEARA,   480, CASA 3-FUNDACAO-SAO CAETANO DO SUL-SP -09520410 ",19.90,4
Cliente Ficticio 341,"PC OSWALDO CRUZ,124,BL 1 AP 134-PARAISO-SAO PAULO-SP -04004903 ",176.62,4
Cliente Ficticio 342,"R BR DE MELGACO,  2350, SALA 3-CENTRO-SUL-CUIABA-MT -78020800 ",161.53,4
Cliente Ficticio 343,"R CORRUIRA,    30-VILA PADRE MANOEL DE NOBREGA-CAMPINAS-SP -13061309 ",111.48,4
Cliente Ficticio 344,"R COSTA DO SOL,765-VILA COSTA DO SOL-SAO CARLOS-SP -13566070 ",184.19,4
Cliente Ficticio 345,"R SALIM IZAR,   333, BL D - PAINEIRA, APT 61-VILA PROGREDIOR-SAO PAULO-SP -05617040 ",385.08,4
Cliente Ficticio 346,"R JAPAO,  1145-MORADA DO SOL-AMERICANA-SP -13470300 ",52.50,4
Cliente Ficticio 347,"R DOLOVICO PISSAIA,1494,CASA 02-AFONSO PENA-SAO JOSE DOS PINHAIS-PR -83050080 ",160.84,4
Cliente Ficticio 349,"R DA HARMONIA,   799, CASA 1-PORTAL DA PRIMAVERA-COTIA-SP -06716623 ",164.02,4
Cliente Ficticio 350,"R DO ORATORIO,1897,AP ,04-ALTO DA MOOCA-SAO PAULO-SP -03195000 ",314.31,4
Cliente Ficticio 351,"R BENEDITO DIAS DOS SANTOS,   191, BL A, APT 14-JARDIM SABIA-COTIA-SP -06716530 ",189.42,4
Cliente Ficticio 352,"R VICENTE TOZO,    20-INA-SAO JOSE DOS PINHAIS-PR -83065485 ",315.31,4
Cliente Ficticio 353,"TV ERNESTO FANELLI,    11, FD-JARDIM BRASIL (ZONA NORTE)-SAO PAULO-SP -02226080 ",19.39,4
Cliente Ficticio 354,"R NOEL DE MEDEIROS ROSA,   409, CASA 01-CJ HAB J M FILHO-SOROCABA-SP -18053170 ",211.83,4
Cliente Ficticio 355,"R CDOR BASTOS,   243, APT 101-FREGUESIA (ILHA DO GOVERNADOR)-RIO DE JANEIRO-RJ -21911020 ",286.72,4
Cliente Ficticio 356,"R DAS VIOLETAS,    78-JARDIM DAS ROSAS-ITU-SP -13309503 ",50.71,4
Cliente Ficticio 357,"R CASTILHO ARIBERTI FAZZIO,   130, CASA 6-JARDIM TUPINAMBA-SOROCABA-SP -18066315 ",104.97,4
Cliente Ficticio 358,"R ENG G C FRENDER,   927-VILA ANTONIETA-SAO PAULO-SP -03477000 ",209.80,4
Cliente Ficticio 359,"AV AFONSO PENA,2260,QD 09, LT AREA, BL 01, APT 1105-SETOR GOIANIA 2-GOIANIA-GO -74665555 ",113.86,4
Cliente Ficticio 360,"R LAZIO,   100, APT 302-VILA NOVA-BLUMENAU-SC -89035038 ",303.86,4
Cliente Ficticio 361,"Q, QD 31, CJ G, LT 18-PARANOA-BRASILIA-DF -71573107 ",213.64,4
Cliente Ficticio 362,"R ANTONIO GOMES,   330, CASA 5-CRUZ DAS ARMAS-JOAO PESSOA-PB -58085070 ",194.30,4
Cliente Ficticio 363,"R BARATA RIBEIRO,   414, APT 85-BELA VISTA-SAO PAULO-SP -01308000 ",600.89,4
Cliente Ficticio 364,"R AGENOR DE ABREU,   155-GOIANIA-BELO HORIZONTE-MG -31960080 ",225.56,4
Cliente Ficticio 365,"R ARICURI,   266, FD-CAMPO GRANDE-RIO DE JANEIRO-RJ -23087142 ",323.81,4
Cliente Ficticio 366,"R PRFA VERA LUCIA NOGUEIRA LUCAS,   114-JARDIM CITY-GUARULHOS-SP -07082590 ",229.94,4
Cliente Ficticio 367,"R DR PINTO FERRAZ,75,AP 32-VILA MARIANA-SAO PAULO-SP -04117040 ",279.31,4
Cliente Ficticio 368,"R ALUISIO DE AZEVEDO,136,FRENTE-VILA AMORIM-AMERICANA-SP -13469113 ",192.37,4
Cliente Ficticio 369,"R LUIZ FOGAGNOLO,134-PLANALTO VERDE-RIBEIRAO PRETO-SP -14056500 ",285.61,4
Cliente Ficticio 370,"R CEL SILVERIO MAGALHAES,   663-VILA SANTO ESTEFANO-SAO PAULO-SP -04154000 ",144.57,4
Cliente Ficticio 371,"R JOSE LAUER,   298-CONDOMINIO ESPLANADA DO SOL-SAO JOSE DOS CAMPOS-SP -12244660 ",179.66,4
Cliente Ficticio 372,"R FRANCISCO CIPRIANO DO AMARAL,   149-JARDIM COLORADO-SAO JOSE DOS CAMPOS-SP -12227740 ",96.08,4
Cliente Ficticio 373,"R YOSHIMARA MINAMOTO,   858, CASA 2-JARDIM BRASILIA-SAO PAULO-SP -05847620 ",73.57,4
Cliente Ficticio 374,"AV DAS CEREJEIRAS,   960, CASA 4-JARDIM JAPAO-SAO PAULO-SP -02124000 ",135.57,4
Cliente Ficticio 375,"R ARACATUBA,   697, CASA 4-VILA IPOJUCA-SAO PAULO-SP -05058010 ",261.15,4
Cliente Ficticio 376,"R ADOLFINA AREAL SOUTO (CJ I PARAIBA),     7,   C1-ADRIANOPOLIS-MANAUS-AM -69057560 ",222.58,4
Cliente Ficticio 377,"R HENRIQUE DUARTE DO PATEO,    57-JARDIM NOVA SUICA-LIMEIRA-SP -13486039 ",77.27,4
Cliente Ficticio 378,"R GEN HASEGAWA,   138-BANDEIRAS-OSASCO-SP -06160100 ",287.00,4
Cliente Ficticio 379,"R JANGURUCU,   542-PARQUE DA MOOCA-SAO PAULO-SP -03125020 ",462.74,4
Cliente Ficticio 380,"AVENIDA CENTRAL, BL 1145, CASA 10-NUCLEO BANDEIRANTE-BRASILIA-DF -71710025 ",377.10,4
Cliente Ficticio 381,"R GABRIEL DANUNZIO,   293, CASA A-JARDIM AEROPORTO III-MOGI DAS CRUZES-SP -08761450 ",77.48,4
Cliente Ficticio 382,"R BELGRADO,   452-VALE DO SOL-BARUERI-SP -06437140 ",361.04,4
Cliente Ficticio 383,"AV N SRA DE COPACABANA,   363, APT 102-COPACABANA-RIO DE JANEIRO-RJ -22020002 ",272.38,4
Cliente Ficticio 385,"R JOSE MOSCARDINI,   175-JARDIM NOSSA SENHORA DE FATIMA-HORTOLANDIA-SP -13185431 ",184.33,4
Cliente Ficticio 386,"R SEBASTIAO GARCIA GIMENES,   734-ALVINOPOLIS-ATIBAIA-SP -12942581 ",150.27,4
Cliente Ficticio 387,"R VINTE E TRES DE JUNHO,   151, CASA 2-DOS CASA-SAO BERNARDO DO CAMPO-SP -09846040 ",173.49,4
Cliente Ficticio 388,"R HAITI,21-CIDADE NOVA-MANAUS-AM -69097226 ",193.90,4
Cliente Ficticio 389,"R PE LOPES,444,ED MARROCOS APT 13-SAO DIMAS-PIRACICABA-SP -13416080 ",247.00,4
Cliente Ficticio 390,"AV 5 DE NOVEMBRO,   677-VILA NASTRI-ITAPETININGA-SP -18207320 ",56.93,4
Cliente Ficticio 391,"CJ JOAO EMILIO FALCAO,1880,COND ISADORA,  BL 04,  APT 303-CRISTO REI-TERESINA-PI -64015610 ",77.31,4
Cliente Ficticio 392,"R MIGUEL FERNANDES MALDONADO,   343-JARDIM SANTA RITA-GUARULHOS-SP -07143222 ",224.28,4
Cliente Ficticio 393,"R BATAGUACU,25,A-VILA MARIA ALTA-SAO PAULO-SP -02129020 ",180.47,4
Cliente Ficticio 394,"R DAS ESMERALDAS,    55, BL A2, APT 12-JARDIM PETROPOLIS-CAMPO GRANDE-MS -79102320 ",199.15,4
Cliente Ficticio 395,"R DELGADO DE CARVALHO,    65, APT 202-TIJUCA-RIO DE JANEIRO-RJ -20260280 ",65.60,4
Cliente Ficticio 396,"R LUZIANIA,    51, QD CH-28, CASA 02-JARDIM NOVO MUNDO-GOIANIA-GO -74710400 ",282.38,4
Cliente Ficticio 397,"R ARARIBA,   169, FD-JARDIM SANTA CRISTINA-SANTO ANDRE-SP -09172290 ",104.58,4
Cliente Ficticio 398,"R LUIS GAMA,    37-JARDIM MONCOES-SANTO ANDRE-SP -09180320 ",43.82,4
Cliente Ficticio 399,"TV CENTAUREA MAIOR,    59-VILA CARMEM-SAO PAULO-SP -03280113 ",61.45,4
Cliente Ficticio 400,"R ORESTES BARBOSA,   166-JARDIM PARAVENTI-GUARULHOS-SP -07123000 ",224.02,4
Cliente Ficticio 401,"R RETIRO,145,BL A APT-MARANHAO-SAO PAULO-SP -03073005 ",471.94,4
Cliente Ficticio 402,"R D BOSCO,   206, BL B, APT 42-MOOCA-SAO PAULO-SP -03105020 ",171.45,4
Cliente Ficticio 403,"R SANTOS,  1245-JARDIM AMERICA-BELO HORIZONTE-MG -30421422 ",311.76,4
Cliente Ficticio 404,"R NARITA,495,CASA 3-JARDIM JAPAO-SAO PAULO-SP -02123040 ",277.61,4
Cliente Ficticio 405,"R JOSE DE ALENCAR ROGEDO,286,C-MINASLANDIA (P MAIO)-BELO HORIZONTE-MG -31812200 ",212.27,4
Cliente Ficticio 406,"R LEONOR DOMINGUES,   253-JARDIM HERCILIA-SAO PAULO-SP -03557040 ",147.01,4
Cliente Ficticio 407,"R CAP LINDOLFO GUIMARAES CORREA,  1970, BL 02, APT 11-JARDIM URANO-SAO JOSE DO RIO PRETO-SP -15084170 ",247.97,4
Cliente Ficticio 408,"NORTE, RUA 22, LT 04, APT 1004-NORTE (AGUAS CLARAS)-BRASILIA-DF -71916250 ",293.63,4
Cliente Ficticio 409,"CONDOMINIO VIVENDAS ALVORADA II, CJ K, LT 07-SOBRADINHO-BRASILIA-DF -73090908 ",218.70,4
Cliente Ficticio 410,"PSG S JOAO,    24, QD 51-CABANAGEM-BELEM-PA -66625020 ",20.87,4
Cliente Ficticio 411,"R S BENTO,  1050-CENTRO-ARARAQUARA-SP -14801300 ",58.53,4
Cliente Ficticio 412,"R JOSE ALBANO,   637,-VILA BARRETO-SAO PAULO-SP -02937000 ",306.17,4
Cliente Ficticio 413,"R CESAR BATISTA,   192-VILA GUARANI (Z SUL)-SAO PAULO-SP -04312130 ",324.99,4
Cliente Ficticio 414,"R OSCAR DE SOUZA ALVES,   243-JARDIM SANTA INEZ-ITAPETININGA-SP -18210746 ",174.74,4
Cliente Ficticio 415,"AV JURUCE,   520, APT 62-INDIANOPOLIS-SAO PAULO-SP -04080012 ",220.50,4
Cliente Ficticio 416,"R FRANCISCA NUNES LEITE,    20-JARDIM MONTERREY-SOROCABA-SP -18071096 ",200.82,4
Cliente Ficticio 417,"R TEMPLARIOS,   131, CASA 4-VILA FORMOSA-SAO PAULO-SP -03357000 ",53.24,4
Cliente Ficticio 418,"R PARAIBA,332,CASA 2 / FUNDOS-CHACARA MACHADINHO I-AMERICANA-SP -13478090 ",47.64,4
Cliente Ficticio 419,"R ANTONIO FERNANDES JACOME,   119-VILA IMPERIO-SAO PAULO-SP -04406010 ",284.65,4
Cliente Ficticio 421,"R JOSE RIBINSKI,    21-CACHOEIRA-ARAUCARIA-PR -83708570 ",169.48,4
Cliente Ficticio 422,"R REPUBLICA (CIDADE BAIXA),   281, APT 405-CIDADE BAIXA-PORTO ALEGRE-RS -90050321 ",75.12,4
Cliente Ficticio 423,"AV MQ DE SAO VICENTE,   188, BX-CAMPO GRANDE-SANTOS-SP -11075690 ",442.87,4
Cliente Ficticio 424,"R DES CAMPOS,   111-INCONFIDENCIA-BELO HORIZONTE-MG -30820250 ",134.91,4
Cliente Ficticio 425,"AL 8 (1204 SUL),    19-PLANO DIRETOR SUL-PALMAS-TO -77019514 ",210.78,4
Cliente Ficticio 426,"PC DR BERNARDINO DE CAMPOS,   285, APT 14-CENTRO-SAO VICENTE-SP -11310300 ",187.53,4
Cliente Ficticio 427,"AV ANTONIO CARLOS MAGALHAES,3359,APT 1302-PRQ BELA VISTA-SALVADOR-BA -40280000 ",130.54,4
Cliente Ficticio 428,"R CAME,586,AP 7-MOOCA-SAO PAULO-SP -03121020 ",52.95,4
Cliente Ficticio 429,"R ALEMANHA,  1755, BL 3, APT 47-VILA CAMILOPOLIS-SANTO ANDRE-SP -09240001 ",194.91,4
Cliente Ficticio 430,"R ALCIDES LOURENCO DA ROCHA,   265-CIDADE MONCOES-SAO PAULO-SP -04571110 ",51.18,4
Cliente Ficticio 431,"R N SR DO BONFIM,    52-JARDIM RODEIO-MOGI DAS CRUZES-SP -08775220 ",35.91,4
Cliente Ficticio 432,"R MARTIM AFONSO DE SOUZA,   656-JARDIM SAO CAETANO-SAO CAETANO DO SUL-SP -09581660 ",351.04,4
Cliente Ficticio 433,"AV CNSO NEBIAS,   459, BL B, APT 25-ENCRUZILHADA-SANTOS-SP -11045001 ",190.14,4
Cliente Ficticio 434,"R IGARAPE-ACU,352,BLOCO 12  -  APTO: 403-JACAREPAGUA-RIO DE JANEIRO-RJ -22783140 ",188.95,4
Cliente Ficticio 435,"R CNSO ANTONIO PRADO,   414-VILA NOVA-CAMPINAS-SP -13073068 ",189.28,4
Cliente Ficticio 436,"R SERRA DO CARACA,   193, FD-CONJUNTO MORADA DA SERRA-SABARA-MG -34515690 ",387.58,4
